maximum_reliable_period_s,density_per_s
0.0,0.0010716384260319475
4.102051025512757,0.0010716263942381382
8.204102051025513,0.0010715902823924576
12.30615307653827,0.001071530041127212
16.408204102051027,0.0010714455882464254
20.510255127563784,0.001071336808850977
24.61230615307654,0.0010712035555135487
28.714357178589296,0.0010710456485031185
32.81640820410205,0.0010708628760586814
36.91845922961481,0.0010706549947118015
41.02051025512757,0.0010704217296575319
45.122561280640326,0.0010701627751731606
49.22461230615308,0.0010698777950841883
53.326663331665834,0.0010695664232768588
57.42871435717859,0.0010692282642565058
61.53076538269135,0.001068862893750915
65.6328164082041,0.0010684698593578304
69.73486743371686,0.0010680486812356738
73.83691845922962,0.0010675988528364897
77.93896948474237,0.0010671198416800567
82.04102051025514,0.0010666110901680621
86.14307153576789,0.0010660720164371693
90.24512256128065,0.0010655020152497588
94.3471735867934,0.00106490045892107
98.44922461230615,0.0010642666982814155
102.55127563781892,0.0010636000636721056
106.65332666333167,0.001062899865973653
110.75537768884443,0.0010621653976648038
114.85742871435718,0.001061395933910886
118.95947973986995,0.0010605907336799355
123.0615307653827,0.001059749040885015
127.16358179089546,0.0010588700855511182
131.2656328164082,0.0010579530850050028
135.36768384192098,0.0010569972450862866
139.46973486743371,0.0010560017613780977
143.57178589294648,0.0010549658204555524
147.67383691845924,0.001053888601150317
151.775887943972,0.0010527692758294828
155.87793896948475,0.001051607011686972
159.9799899949975,0.0010504009720456817
164.08204102051027,0.001049150317668555
168.184092046023,0.0010478542080767695
172.28614307153578,0.0010465118028732193
176.38819409704854,0.001045122263069476
180.4902451225613,0.0010436847524143992
184.59229614807404,0.001042198438722589
188.6943471735868,0.0010406624952008579
192.79639819909957,0.0010390761017709292
196.8984492246123,0.0010374384463865659
201.00050025012507,0.0010357487263433513
205.10255127563784,0.001034006149579363
209.2046023011506,0.0010322099359650002
213.30665332666334,0.0010303593185802362
217.4087043521761,0.001028453544977615
221.51075537768887,0.001026491878429305
225.61280640320163,0.0010244735991565854
229.71485742871437,0.0010223980055401468
233.81690845422713,0.0010202644153096334
237.9189594797399,0.0010180721667108904
242.02101050525263,0.0010158206196494086
246.1230615307654,0.0010135091568085107
250.22511255627816,0.0010111371847408555
254.32716358179093,0.0010087041349318856
258.42921460730366,0.0010062094648338876
262.5312656328164,0.0010036526588693819
266.6333166583292,0.0010010332294026058
270.73536768384196,0.0009983507176779117
274.8374187093547,0.000995604694723942
278.93946973486743,0.0009927947622225047
283.0415207603802,0.0009899205533411305
287.14357178589296,0.000986981733528334
291.2456228114057,0.000983978001270679
295.3476738369185,0.0009809090888107824
299.44972486243125,0.0009777747628254758
303.551775887944,0.0009745748250633786
307.6538269134567,0.0009713091129412129
311.7558779389695,0.0009679775000982465
315.85792896448226,0.0009645798969083121
319.959979989995,0.0009611162509489069
324.0620310155078,0.0009575865474269523
328.16408204102055,0.000953990809560838
